Population	Standard	Standard	Standard	Standard	Standard
CO	0.0075	0.0082	0.0073	0.0076	NA
EA	0.0071	0.0087	0.0074	0.0075	0.0060
EB	0.0064	0.0074	0.0066	0.0067	0.0054
EG	0.0034	NA	0.0053	NA	NA
FR	0.0036	0.0055	0.0051	0.0054	0.0045
GA	0.0077	0.0087	0.0077	0.0080	0.0066
GU	0.0076	0.0083	0.0075	0.0077	NA
KN	0.0087	0.0061	0.0077	0.0082	0.0070
KR	0.0082	NA	0.0080	0.0085	0.0067
NG	0.0076	0.0109	0.0075	0.0085	0.0054
RAL	0.0041	0.0068	0.0062	0.0064	0.0052
RG	0.0080	0.0085	0.0076	0.0078	0.0063
SB	0.0088	0.0106	0.0082	0.0083	0.0072
SD	0.0086	0.0096	0.0078	0.0080	0.0065
SE	0.0083	NA	0.0079	0.0081	0.0072
SF	0.0086	0.0103	0.0090	0.0081	0.0048
SP	0.0090	0.0099	0.0083	0.0083	0.0065
TZ	NA	NA	0.0077	0.0075	0.0056
UK	0.0081	0.0085	0.0077	0.0077	0.0060
UM	0.0080	NA	0.0078	0.0068	0.0075
ZI	0.0089	0.0099	0.0083	0.0084	0.0076
ZS	0.0089	0.0099	0.0083	0.0082	0.0074
